id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
1,2017,Hyderabad,2017-04-05,abcd,Royal_Challengers_Bangalore,Royal_Challengers_Bangalore,field,normal,0,Sunrisers_Hyderabad,35,0,Yuvraj_Singh,"Rajiv_Gandhi_International_Stadium,_Uppal",AY_Dandekar,NJ_Llong
2,2017,Pune,2017-04-06,Mumbai_Indians,Rising_Pune_Supergiant,Rising_Pune_Supergiant,field,normal,0,Rising_Pune_Supergiant,0,7,SPD_Smith,Maharashtra_Cricket_Association_Stadium,A_Nand_Kishore,S_Ravi
3,2017,Rajkot,2017-04-07,Gujarat_Lions,Kolkata_Knight_Riders,Kolkata_Knight_Riders,field,normal,0,Kolkata_Knight_Riders,0,10,CA_Lynn,Saurashtra_Cricket_Association_Stadium,Nitin_Menon,CK_Nandan
4,2017,Indore,2017-04-08,Rising_Pune_Supergiant,Kings_XI_Punjab,Kings_XI_Punjab,field,normal,0,Kings_XI_Punjab,0,6,GJ_Maxwell,Holkar_Cricket_Stadium,AK_Chaudhary,C_Shamshuddin
5,2017,Bangalore,2017-04-08,Royal_Challengers_Bangalore,Delhi_Daredevils,Royal_Challengers_Bangalore,bat,normal,0,Royal_Challengers_Bangalore,15,0,KM_Jadhav,M_Chinnaswamy_Stadium,,
6,2017,Hyderabad,2017-04-09,Gujarat_Lions,Sunrisers_Hyderabad,Sunrisers_Hyderabad,field,normal,0,Sunrisers_Hyderabad,0,9,Rashid_Khan,"Rajiv_Gandhi_International_Stadium,_Uppal",A_Deshmukh,NJ_Llong
7,2017,Mumbai,2017-04-09,Kolkata_Knight_Riders,Mumbai_Indians,Mumbai_Indians,field,normal,0,Mumbai_Indians,0,4,N_Rana,Wankhede_Stadium,Nitin_Menon,CK_Nandan
8,2017,Indore,2017-04-10,Royal_Challengers_Bangalore,Kings_XI_Punjab,Royal_Challengers_Bangalore,bat,normal,0,Kings_XI_Punjab,0,8,AR_Patel,Holkar_Cricket_Stadium,AK_Chaudhary,C_Shamshuddin
9,2017,Pune,2017-04-11,Delhi_Daredevils,Rising_Pune_Supergiant,Rising_Pune_Supergiant,field,normal,0,Delhi_Daredevils,97,0,SV_Samson,Maharashtra_Cricket_Association_Stadium,AY_Dandekar,S_Ravi
10,2017,Mumbai,2017-04-12,Sunrisers_Hyderabad,Mumbai_Indians,Mumbai_Indians,field,normal,0,Mumbai_Indians,0,4,JJ_Bumrah,Wankhede_Stadium,Nitin_Menon,CK_Nandan
11,2017,Kolkata,2017-04-13,Kings_XI_Punjab,Kolkata_Knight_Riders,Kolkata_Knight_Riders,field,normal,0,Kolkata_Knight_Riders,0,8,SP_Narine,Eden_Gardens,A_Deshmukh,NJ_Llong
12,2017,Bangalore,2017-04-14,Royal_Challengers_Bangalore,Mumbai_Indians,Mumbai_Indians,field,normal,0,Mumbai_Indians,0,4,KA_Pollard,M_Chinnaswamy_Stadium,KN_Ananthapadmanabhan,AK_Chaudhary
